software,e,s,total
TinyTurla,[],[],0
TINYTYPHON,[],[],0
TinyZBot,[],[],0
Tomiris,[],[],0
Tor,[],[],1
Torisma,[],[],0
TrailBlazer,[],[],0
Triada,[],[],0
TrickBot,[],[],0
TrickMo,[],[],0
Triton,[],[],0
Trojan-SMS.AndroidOS.Agent.ao,[],[],0
Trojan-SMS.AndroidOS.FakeInst.a,[],[],0
Trojan-SMS.AndroidOS.OpFake.a,[],[],0
Trojan.Karagany,[],[],0
Trojan.Mebromi,[],[],0
Truvasys,[],[],0
TSCookie,[],[],0
Turian,[],[],0
TURNEDUP,[],[],0
Twitoor,[],[],0
TYPEFRAME,[],[],0
UACMe,[],[],0
UBoatRAT,[],[],0
Umbreon,[],[],0
Unknown Logger,[],[],0
UPPERCUT,[],[],0
Uroburos,[],[],0
Ursnif,[],"[569, 757]",2
USBferry,[],[],0
USBStealer,[],[],0
Valak,[],[],0
VaporRage,[],[],0
Vasport,[],[],0
VBShower,[],[],0
VERMIN,[],[],0
ViceLeaker,[],[],0
ViperRAT,[],[],0
Volgmer,[],[],0
VPNFilter,[],[],0
WannaCry,[],[],0
WarzoneRAT,[],[],0
WastedLocker,[],[],0
Waterbear,[],[],0
WEBC2,[],[],0
WellMail,[],[],0
WellMess,[],[],0
Wevtutil,[],"[712, 765]",2
WhisperGate,[],"[196, 209, 228, 352, 361, 419, 529, 579, 597, 600, 607, 721, 723, 752, 753, 754, 824, 837, 849, 873, 874, 891, 934]",23
Wiarp,[],[],0
Windows Credential Editor,[],[],1
WINDSHIELD,[],[],0
WindTail,[],[],0
WINERACK,[],[],0
Winexe,[],[],0
Wingbird,[],[],0
WinMM,[],[],0
Winnti for Linux,[],[],0
Winnti for Windows,[],[],0
Wiper,[],"[180, 183, 194, 204, 205, 220, 228, 255, 264, 346, 361, 362, 424, 477, 522, 528, 529, 539, 574, 581, 584, 587, 588, 589, 590, 591, 594, 595, 599, 601, 612, 613, 617, 618, 641, 665, 676, 753, 773, 780, 788, 814, 831, 866, 890, 891, 933]",47
WireLurker,[],[],1
WolfRAT,[],[],0
X-Agent for Android,[],[],0
XAgentOSX,[],[],0
Xbash,[],[],0
Xbot,[],[],0
xCaon,[],[],0
xCmd,[],[],0
XcodeGhost,[],[],0
XCSSET,[103],[],1
XLoader for Android,[],[],0
XLoader for iOS,[],[],0
XTunnel,[],[],0
YAHOYAH,[],[],0
YiSpecter,[],[],0
yty,[213],"[324, 701]",3
Zebrocy,[],[],0
Zen,[],[],0
ZergHelper,[],[],0
Zeroaccess,[],[],0
ZeroT,[],[],0
Zeus Panda,[],[],0
ZLib,[],[],0
Zox,[],[],0
zwShell,[],[],0
ZxShell,[],[],0
ZxxZ,[],[],0
9002 RAT,[],[],0
AIRBREAK,[],[],0
ANEL,[],[],0
ASPXTool,[],[],0
AZZY,[],[],0
Adwind,[],[],2
AlienSpy,[],[],0
Anchor_DNS,[],[],0
Anunak,[],[],0
Aurora,[],[],1
Ave Maria,[],[],0
BKDR_ESILE,[],[],0
BUGJUICE,[],[],0
Babyk,[],[],0
Backdoor.APT.CookieCutter,[],[],0
Backdoor.APT.FakeWinHTTPHelper,[],[],0
Backdoor.MacOS.OCEANLOTUS.F,[],[],0
Backdoor.Nidiran,[],[],0
Backdoor.Remsec,[],[],0
Backdoor.SofacyX,[],[],0
Black Energy,[],[],0
Bladabindi,[],[],0
BotgenStudios,[],[],0
Breut,[],[],0
Bugat v5,[],[],0
CANOPY,[],[],0
CRASHOVERRIDE,[],[],0
Casbaneiro,[],[],0
Chanitor,[],[],0
Chrysaor,[],[],0
CloudLook,[],[],0
Cozer,[],[],0
CozyBear,[],[],0
CozyDuke,[],[],0
Crossrider,[],[],0
Custom HDoor,[],[],0
DARKTOWN,[],[],0
DESLoader,[],[],0
DILLJUICE stage2,[],[],0
DNSMessenger,[],[],0
DRIFTWOOD,[],[],0
DROPSHOT,[],[],0
DUEBREW,[],[],0
DarkKomet,[],[],0
Darkmoon,[],[],0
DazzleSpy,[],[],0
DelfsCake,[],[],0
Delphacy,[],[],0
DestroyRAT,[],[],0
Diskcoder.C,[],[],0
Disttrack,[],[],0
Dofoil,[],[],0
Downadup,[],[],0
Dreambot,[],[],0
DriveSlayer,[],[],0
Dyreza,[],[],0
Dyzap,[],[],0
EVILTOSS,[],[],0
EmPyre,"[76, 80]",[],2
Enfal,[],[],0
EuroAPT,[],[],0
EvilQuest,[],[],0
ExPetr,[],[],0
Exodus One,[],[],0
Exodus Two,[],[],0
FIENDCRY,[],[],0
FOCUSFJORD,[],[],0
FYNLOS,[],[],0
FinSpy,[],[],0
Flamer,[],[],0
Fobushell,[],[],0
FriedEx,[],[],0
Frutas,[],[],0
Fynloski,[],[],0
GAMEFISH,[],[],0
GRAMDOOR,[],[],0
Gameover ZeuS,[],[],0
Gelsemine,[],[],0
Gelsenicine,[],[],0
Gelsevirine,[],[],0
Geodo,[],[],0
Ghost Push,[],[],0
GoldenEye,[],[],0
Gozi-ISFB,[],[],0
GreetCake,[],[],0
Gresim,[],[],0
GreyEnergy mini,[],[],0
Guildma,[],[],0
HAYMAKER,[],[],0
HEAVYHAND,[],[],0
HEAVYPOT,[],[],0
HUC Packet Transmit Tool,[],[],0
HammerDuke,[],[],0
HatMan,[],[],0
Havex,[],[],0
HidraQ,[],[],0
HomeUnix,[],[],0
Homux,[],[],0
HttpDump,[],[],0
HydraQ,[],[],0
HyperSSL,[],[],0
JKEYSKW,[],[],0
JSocket,[],[],0
JackOfHearts,[],[],0
James,[],[],0
Joker,[],[],0
KEGTAP,[],[],0
Kaba,[],[],0
Karagany,[],[],0
Kido,[],[],0
Korplug,[],[],0
Krademok,[],[],0
LV,[],[],0
Lecna,[],[],0
MSIL/Crimson,[],[],0
MacRansom.K,[],[],0
McRat,[],[],0
MdmBot,[],[],0
Mespinoza,[],[],0
MiniDionis,[],[],0
Moudoor,[],[],0
